,name_x,free_bikes,longitude,latitude,fsq_id,category_id,category_name,distance,country,city,address,name_y
0,Benjamin Godard - Victor Hugo,5.0,2.276,48.866,,,,,,,,
1,André Mazet - Saint-André des Arts,22.0,2.339,48.854,,,,,,,,
2,Faubourg Du Temple - Republique,26.0,2.365,48.868,,,,,,,,
3,Beaux-Arts - Bonaparte,18.0,2.335,48.856,,,,,,,,
4,Toudouze - Clauzel,5.0,2.337,48.879,,,,,,,,
5,Charonne - Robert et Sonia Delaunay,9.0,2.393,48.856,,,,,,,,
6,Mairie du 12ème,15.0,2.388,48.841,,,,,,,,
7,Square Boucicaut,30.0,2.325,48.851,,,,,,,,
8,Harpe - Saint-Germain,41.0,2.344,48.852,,,,,,,,
9,Jouffroy d'Abbans - Wagram,3.0,2.301,48.882,,,,,,,,
10,Guersant - Gouvion-Saint-Cyr,11.0,2.288,48.883,,,,,,,,
11,Alibert - Jemmapes,5.0,2.366,48.871,,,,,,,,
12,Caumartin - Provence,3.0,2.328,48.874,,,,,,,,
13,Cassini - Denfert-Rochereau,9.0,2.336,48.838,,,,,,,,
14,Saint-Sulpice,15.0,2.331,48.852,,,,,,,,
15,Raspail - Varenne,5.0,2.326,48.853,,,,,,,,
16,Lacépède - Monge,9.0,2.352,48.844,,,,,,,,
17,Saint-Romain - Cherche-Midi,13.0,2.321,48.847,,,,,,,,
18,André Karman - République,13.0,2.385,48.91,,,,,,,,
19,Pierre et Marie Curie - Maurice Thorez,3.0,2.377,48.816,,,,,,,,
20,Bois de Vincennes - Gare,5.0,2.471,48.836,,,,,,,,
21,Silly - Galliéni,20.0,2.233,48.836,,,,,,,,
22,Place Nelson Mandela ,6.0,2.197,48.862,,,,,,,,
23,Le Brun - Gobelins,15.0,2.353,48.835,,,,,,,,
24,Gare du Nord - Place de Valenciennes,2.0,2.354,48.879,,,,,,,,
25,Grande Armée - Brunel,18.0,2.288,48.876,,,,,,,,
26,Génie - Mozart,3.0,2.373,48.795,,,,,,,,
27,Thouin - Cardinal Lemoine,3.0,2.349,48.845,,,,,,,,
28,Froment - Bréguet,40.0,2.373,48.857,,,,,,,,
29,Notre-Dame-des-Champs - Stanislas,8.0,2.329,48.845,,,,,,,,
30,Morillons - Dantzig,14.0,2.299,48.833,,,,,,,,
31,Grenelle - Dr Finlay,64.0,2.292,48.851,,,,,,,,
32,Chazelles - Courcelles ,2.0,2.303,48.879,,,,,,,,
33,Croulebarde - Corvisart,6.0,2.348,48.831,,,,,,,,
34,Ramponeau - Belleville,4.0,2.379,48.871,,,,,,,,
35,Le Brix et Mesmin - Jourdan,9.0,2.328,48.822,,,,,,,,
36,Romainville - Vaillant-Couturier,6.0,2.447,48.868,,,,,,,,
37,Général Martial Valin - Pont du Garigliano,1.0,2.271,48.838,,,,,,,,
38,Liberté - Vert-de-Maisons,17.0,2.433,48.79,,,,,,,,
39,Porte de Saint-Ouen - Bessières,9.0,2.329,48.898,,,,,,,,
40,Bir Hakeim,30.0,2.29,48.854,,,,,,,,
41,Jules Guesde - Pont du Port à l'Anglais,24.0,2.417,48.796,,,,,,,,
42,Cambrai - Benjamin Constant,4.0,2.381,48.896,,,,,,,,
43,De Toqueville - Terrasse,5.0,2.314,48.882,,,,,,,,
44,Michel-Ange - Parent de Rosan,5.0,2.258,48.841,,,,,,,,
45,Lagny - Victor Basch,6.0,2.426,48.849,,,,,,,,
46,Serrurier,3.0,2.398,48.88,,,,,,,,
47,Théâtre des Amandiers - Palais des sports,11.0,2.214,48.893,,,,,,,,
48,Louis Lejeune - Barbès,3.0,2.327,48.818,,,,,,,,
49,Vaugirard - Monsieur le Prince,23.0,2.341,48.849,,,,,,,,
50,Rond-point du Dr Albert Schweitzer,3.0,2.314,48.79,,,,,,,,
51,Boétie - Ponthieu,9.0,2.308,48.871,,,,,,,,
52,Custine - Ramey,7.0,2.347,48.889,,,,,,,,
53,Pyrénées - Ménilmontant,3.0,2.395,48.869,,,,,,,,
54,Caire - Dussoubs,11.0,2.349,48.868,,,,,,,,
55,Tour d'Auvergne - Rodier,1.0,2.344,48.879,,,,,,,,
56,Assemblée Nationale,28.0,2.32,48.861,,,,,,,,
57,Dunkerque - Alsace,1.0,2.358,48.879,,,,,,,,
58,Liard - Amiral Mouchez,6.0,2.342,48.821,,,,,,,,
59,Gabriel Lamé,33.0,2.386,48.835,,,,,,,,
60,Las Cases - Bourgogne,7.0,2.319,48.859,,,,,,,,
61,Félix Ziem - Armand Gauthier,8.0,2.333,48.889,,,,,,,,
62,Jonquière - Docteur Paul Brousse,9.0,2.319,48.895,,,,,,,,
63,Square Louis XVI,19.0,2.324,48.873,,,,,,,,
64,Youri Gagarine - Karl Marx,2.0,2.359,48.784,,,,,,,,
65,Octave Feuillet - Albéric Magnard,1.0,2.273,48.861,,,,,,,,
66,Ney - Porte de Clignancourt ,5.0,2.346,48.898,,,,,,,,
67,Gay Lussac - Saint-Jacques,11.0,2.342,48.845,,,,,,,,
68,Place Jean-Spire-Lemaître,17.0,2.452,48.847,,,,,,,,
69,Place Georges Guillaumin,1.0,2.302,48.875,,,,,,,,
70,Bellefond - Poissonnière,2.0,2.348,48.878,,,,,,,,
71,Jean Oestreicher - Porte de Champerret,5.0,2.289,48.887,,,,,,,,
72,Alexandre Parodi - Quai de Valmy,6.0,2.367,48.879,,,,,,,,
73,Ségur - d'Estrées,8.0,2.31,48.851,,,,,,,,
74,Granges aux Belles,8.0,2.368,48.876,,,,,,,,
75,Regnault - Patay,39.0,2.377,48.824,,,,,,,,
76,Gare Saint-Lazare - Place de Budapest,2.0,2.327,48.878,,,,,,,,
77,Edgar Quinet - Raspail,6.0,2.33,48.839,,,,,,,,
